TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
CLASSES - FIF;05.075.861/0001-52;BB TOP EURO FUNDO DE INVESTIMENTO FINANCEIRO CAMBIAL LONGO PRAZO RESPONSABILIDADE LIMITADA;2025-05-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;1530683.80;;;SDE;DI1 X REU
CLASSES - FIF;11.702.084/0001-21;SAINT GERMAIN FUNDO DE INVESTIMENTO MULTI - RESPONSANBILIDADE LIMITADA;2025-05-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;557011.54;;;Outros;999 X 999
CLASSES - FIF;11.702.084/0001-21;SAINT GERMAIN FUNDO DE INVESTIMENTO MULTI - RESPONSANBILIDADE LIMITADA;2025-05-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;17120188.35;;;Outros;999 X 999
CLASSES - FIF;11.886.391/0001-00;CLASSE A DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2025-05-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;589123.16;;;SDP;DI1 X PRE
CLASSES - FIF;13.107.003/0001-70;PASCAL FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO IE - RESPONSABILIDADE LIMITADA;2025-05-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;132227335.15;;;Outros;999 X 999
CLASSES - FIF;14.239.657/0001-10;CAIXA MASTER CAPITAL PROTEGIDO IBOVESPA CICLICO I FIF MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-05-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1881219.88;;;SDP;DI1 X PRE
CLASSES - FIF;15.740.377/0001-54;SANTANDER DIAMANTINA MULTIMERCADO CRÉDITO PRIVADO - FIF;2025-05-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;4010390646.70;;;SDP;DI1 X PRE
CLASSES - FIF;15.740.377/0001-54;SANTANDER DIAMANTINA MULTIMERCADO CRÉDITO PRIVADO - FIF;2025-05-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;31126997.82;;;SDP;DI1 X PRE
CLASSES - FIF;16.916.060/0001-99;CAIXA INDEXA OURO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO LONGO PRAZO - RESP LIMITADA;2025-05-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1080423.01;;;Outros;999 X 999
CLASSES - FIF;16.916.060/0001-99;CAIXA INDEXA OURO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO LONGO PRAZO - RESP LIMITADA;2025-05-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;133241.05;;;Outros;999 X 999
