TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;ID_DOC;VL_PATRIM_LIQ;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_ATIVO;DS_ATIVO;DT_VENC;PF_PJ_EMISSOR;CPF_CNPJ_EMISSOR;EMISSOR;RISCO_EMISSOR;CD_SELIC;DT_INI_VIGENCIA;CD_PAIS;PAIS;CD_BV_MERC;BV_MERC
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-05-31;924955;10615309795.75;AÇÕES;Ação ordinária;N;Para negociação;505876.00;2251845.36;749486.00;3383429.50;1102771.00;5480771.87;;;VAMO3;;;;;;;;2021-01-29;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-05-31;924955;10615309795.75;AÇÕES;Ação ordinária;N;Para negociação;345270.00;5294380.98;389004.00;6026035.92;987630.00;15653935.50;;;YDUQ3;;;;;;;;2019-07-23;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-05-31;924955;10615309795.75;AÇÕES;Ação ordinária;N;Para negociação;824955.00;16170835.59;1198410.00;23381327.62;1511500.00;29459135.00;;;TIMS3;;;;;;;;2020-10-13;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-05-31;924955;10615309795.75;AÇÕES;Ação ordinária;N;Para negociação;2366026.00;32021299.02;628656.00;8536733.29;1749282.00;23930177.76;;;STBP3;;;;;;;;2007-11-21;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-05-31;924955;10615309795.75;AÇÕES;Ação ordinária;N;Para negociação;1320549.00;48680183.61;1849706.00;67471375.72;4115513.00;150833551.45;;;EQTL3;;;;;;;;2006-04-03;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-05-31;924955;10615309795.75;AÇÕES;Ação ordinária;N;Para negociação;2794899.00;94655256.45;6565339.00;216964361.65;9217939.00;303362372.49;;;PETR3;;;;;;;;1973-09-18;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-05-31;924955;10615309795.75;AÇÕES;Ação ordinária;N;Para negociação;883301.00;9181092.52;1257429.00;12283495.60;2746558.00;28756462.26;;;NTCO3;;;;;;;;2019-12-18;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-05-31;924955;10615309795.75;AÇÕES;Ação ordinária;N;Para negociação;1470469.00;64706611.39;3201389.00;139011969.58;6249453.00;264664334.55;;;WEGE3;;;;;;;;2004-08-02;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-05-31;924955;10615309795.75;AÇÕES;Ação ordinária;N;Para negociação;1137683.00;19245119.41;1532305.00;25327323.69;3710172.00;67376723.52;;;LREN3;;;;;;;;1973-07-24;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-05-31;924955;10615309795.75;AÇÕES;Ação ordinária;N;Para negociação;1164881.00;40833534.29;1702269.00;59010144.06;3536930.00;133625215.40;;;RDOR3;;;;;;;;2021-06-25;;;;
