TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;ID_DOC;TP_APLIC;VL_VENDA_NEGOC;VL_AQUIS_NEGOC;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC
CLASSES FIIM;47.758.831/0001-90;Hashdex Crypto Momentum Fundo de Índice;2025-05-31;919236;DISPONIBILIDADES;;;2507;;2025-08-29
CLASSES FIIM;47.758.831/0001-90;Hashdex Crypto Momentum Fundo de Índice;2025-05-31;919236;INVESTIMENTO NO EXTERIOR;221427;0;11286926;;2025-08-29
CLASSES FIIM;47.758.831/0001-90;Hashdex Crypto Momentum Fundo de Índice;2025-05-31;919236;OPERAÇÕES COMPROMISSADAS;;;49703;;2025-08-29
CLASSES FIIM;47.758.831/0001-90;Hashdex Crypto Momentum Fundo de Índice;2025-05-31;919236;VALORES A PAGAR;;;7739;;2025-08-29
CLASSES FIIM;47.758.831/0001-90;Hashdex Crypto Momentum Fundo de Índice;2025-05-31;919236;VALORES A RECEBER;;;6429;;2025-08-29
CLASSES FIIM;57.091.195/0001-40;SAFRA ETF IBOVESPA EMPRESAS PRIVADAS FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;2025-05-31;923012;AÇÕES;0;0;19954314;;2025-08-29
CLASSES FIIM;57.091.195/0001-40;SAFRA ETF IBOVESPA EMPRESAS PRIVADAS FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;2025-05-31;923012;AÇÕES E OUTROS TVM CEDIDOS EM EMPRÉSTIMO;;;10825949;;2025-08-29
CLASSES FIIM;57.091.195/0001-40;SAFRA ETF IBOVESPA EMPRESAS PRIVADAS FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;2025-05-31;923012;CERTIFICADO OU RECIBO DE DEPÓSITO DE VALORES MOBILIÁRIOS;0;0;964965;;2025-08-29
CLASSES FIIM;57.091.195/0001-40;SAFRA ETF IBOVESPA EMPRESAS PRIVADAS FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;2025-05-31;923012;OPERAÇÕES COMPROMISSADAS;;;58900;;2025-08-29
CLASSES FIIM;57.091.257/0001-13;SAFRA ETF IBOVESPA EMPRESAS ESTATAIS FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;2025-05-31;923013;AÇÕES;0;0;12639681;;2025-08-29
CLASSES FIIM;57.091.257/0001-13;SAFRA ETF IBOVESPA EMPRESAS ESTATAIS FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;2025-05-31;923013;AÇÕES E OUTROS TVM CEDIDOS EM EMPRÉSTIMO;;;7741087;;2025-08-29
CLASSES FIIM;57.091.257/0001-13;SAFRA ETF IBOVESPA EMPRESAS ESTATAIS FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;2025-05-31;923013;OPERAÇÕES COMPROMISSADAS;;;72767;;2025-08-29
CLASSES FIIM;58.430.507/0001-65;HASHDEX NASDAQ XRP FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-05-31;919241;DISPONIBILIDADES;;;17707;;2025-08-29
CLASSES FIIM;58.430.507/0001-65;HASHDEX NASDAQ XRP FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-05-31;919241;INVESTIMENTO NO EXTERIOR;10585925;0;236190625;;2025-08-29
CLASSES FIIM;58.430.507/0001-65;HASHDEX NASDAQ XRP FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-05-31;919241;OPERAÇÕES COMPROMISSADAS;;;829469;;2025-08-29
CLASSES FIIM;58.430.507/0001-65;HASHDEX NASDAQ XRP FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-05-31;919241;VALORES A PAGAR;;;1422018;;2025-08-29
CLASSES FIIM;58.430.507/0001-65;HASHDEX NASDAQ XRP FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-05-31;919241;VALORES A RECEBER;;;130498;;2025-08-29
FIIM;38.314.708/0001-90;HASHDEX NASDAQ CRYPTO INDEX FUNDO DE INDICE;2025-05-31;919239;DISPONIBILIDADES;;;1567;;2025-08-29
